2.0, 0.0, 7.0, 24.0, 7.0, 6.0, 53.0, 7.0, 3.0, 1.0, 12.0, 0.0, 0.0, 0.0, 2.0, 2.0
2.0, 0.0, 4.0, 17.0, 5.0, 7.0, 37.0, 7.0, 2.0, 0.0, 5.0, 1.0, 0.0, 0.0, 3.0, 2.0
1.0, 0.0, 3.0, 25.0, 6.0, 9.0, 71.0, 3.0, 3.0, 0.0, 2.0, 0.0, 0.0, 0.0, 4.0, 6.0
2.0, 1.0, 6.0, 18.0, 6.0, 7.0, 41.0, 6.0, 5.0, 0.0, 4.0, 0.0, 0.0, 0.0, 2.0, 6.0
0.0, 0.0, 3.0, 7.0, 0.0, 4.0, 17.0, 2.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 2.0, 1.0
2.0, 2.0, 13.0, 49.0, 7.0, 17.0, 109.0, 13.0, 3.0, 0.0, 16.0, 1.0, 1.0, 0.0, 7.0, 8.0
0.0, 0.0, 3.0, 5.0, 2.0, 1.0, 11.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 2.0, 6.0, 19.0, 2.0, 5.0, 41.0, 3.0, 5.0, 0.0, 6.0, 2.0, 0.0, 0.0, 2.0, 4.0
2.0, 2.0, 6.0, 31.0, 6.0, 9.0, 86.0, 7.0, 3.0, 0.0, 11.0, 0.0, 1.0, 2.0, 5.0, 9.0
1.0, 0.0, 11.0, 22.0, 5.0, 10.0, 49.0, 9.0, 3.0, 0.0, 12.0, 1.0, 1.0, 0.0, 1.0, 4.0
